OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
44,MAP_1,Public Services,General,Cultural Facilities,Allowed,,NA,NA
46,MAP_1,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
48,MAP_1,Public Services,General,Government Offices,Allowed,,NA,NA
51,MAP_1,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
53,MAP_1,Public Services,General,Local Post Office,Allowed,,NA,NA
54,MAP_1,Public Services,General,Social Service Organizations,Allowed,,NA,NA
57,MAP_1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Allowed,,NA,NA
59,MAP_1,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
61,MAP_1,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
62,MAP_1,Recreation,Recreation,Recreation Centers,Allowed,,NA,NA
63,MAP_1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
64,MAP_1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
67,MAP_1,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,NA
69,MAP_2,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
70,MAP_2,Commercial,Retail,Mail Order and Vending,Allowed,,NA,NA
71,MAP_2,Commercial,Retail,Building Materials and Hardware,Allowed,,NA,NA
72,MAP_2,Commercial,Retail,Nursery,Allowed,,NA,NA
74,MAP_2,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
76,MAP_2,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,NA
77,MAP_2,Commercial,Retail,"Furniture, Home Furnishings and Equipment",Allowed,,NA,NA
78,MAP_2,Commercial,Services,Animal Husbandry Services,Allowed,,NA,NA
79,MAP_2,Commercial,Services,Personal Services,Allowed,,NA,NA
80,MAP_2,Commercial,Services,Auto Repair and Service,Allowed,,NA,NA
81,MAP_2,Commercial,Services,Professional Offices,Allowed,,NA,NA
82,MAP_2,Commercial,Services,Broadcasting Studios,Allowed,,NA,NA
83,MAP_2,Commercial,Services,Repair Services,Allowed,,NA,NA
84,MAP_2,Commercial,Services,Business Support Services,Allowed,,NA,NA
86,MAP_2,Commercial,Services,Contract Construction Services,Allowed,,NA,NA
87,MAP_2,Commercial,Services,Financial Services,Allowed,,NA,NA
89,MAP_2,Commercial,Services,Health Care Services,Allowed,,NA,NA
91,MAP_2,Commercial,Light Industrial,Printing and Publishing,Allowed,,NA,NA
92,MAP_2,Commercial,Light Industrial,Food and Kindred Products,Allowed,,NA,NA
94,MAP_2,Commercial,Light Industrial,Fuel and Ice Dealers,Allowed,,NA,NA
98,MAP_2,Commercial,Wholesale/Storage,Warehousing,Allowed,,NA,NA
100,MAP_2,Commercial,Wholesale/Storage,Wholesale and Distribution,Allowed,,NA,NA
101,MAP_2,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Allowed,,NA,NA
102,MAP_2,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
103,MAP_2,Public Services,General,Collection Stations,Allowed,,NA,NA
113,MAP_2,Public Services,Linear Public Facilities,Transit Stations and Terminals,Allowed,,NA,NA
117,MAP_2,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
118,MAP_2,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
126,MAP_4,Public Services,General,Cultural Facilities,Allowed,,NA,NA
128,MAP_4,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
133,MAP_4,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
134,MAP_4,Recreation,Recreation,Participant Sports Facilities,Allowed,,NA,NA
135,MAP_4,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
137,MAP_4,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
139,MAP_4,Recreation,Recreation,Developed Campgrounds,Allowed,8,sites per acre,NA
140,MAP_4,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
141,MAP_4,Recreation,Recreation,Rural Sports,Allowed,,NA,NA
144,MAP_4,Recreation,Recreation,Group Facilities,Allowed,25,persons per acre,NA
145,MAP_4,Recreation,Recreation,Undeveloped Campgrounds,Allowed,8,sites per acre,NA
146,MAP_4,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,NA
8870,SSAP_T_MU_TC,Residential,Residential,Employee Housing,Allowed,,NA,NA
8872,SSAP_T_MU_TC,Residential,Residential,Mobile Home Dwelling,Allowed,,NA,"Mobile home dwellings shall only be allowed within mobile home parks established before December 12, 2012."
8873,SSAP_T_MU_TC,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,"2 units per parcel (parcels greater than or equal to one acre)
"
8874,SSAP_T_MU_TC,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
8876,SSAP_T_MU_TC,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,40,units per acre,NA
8877,SSAP_T_MU_TC,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,units per acre,NA
8880,SSAP_T_MU_TC,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
8881,SSAP_T_MU_TC,Commercial,Retail,Nursery,Allowed,,NA,NA
8882,SSAP_T_MU_TC,Commercial,Retail,Outdoor Retail Sales,Allowed,,NA,NA
8883,SSAP_T_MU_TC,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
8885,SSAP_T_MU_TC,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
8888,SSAP_T_MU_TC,Commercial,Entertainment,Gaming - Nonrestricted (Nevada Only),Allowed,,NA,NA
8889,SSAP_T_MU_TC,Commercial,Services,Animal Husbandry Services,Allowed,,NA,NA
8890,SSAP_T_MU_TC,Commercial,Services,Professional Offices,Allowed,,NA,NA
8891,SSAP_T_MU_TC,Commercial,Services,Business Support Services,Allowed,,NA,NA
8892,SSAP_T_MU_TC,Commercial,Services,Health Care Services,Allowed,,NA,NA
8895,SSAP_T_MU_TC,Commercial,Light Industrial,Small Scale Manufacturing,Allowed,,NA,NA
8898,SSAP_T_MU_TC,Commercial,Wholesale/Storage,Warehousing,Allowed,,NA,NA
8901,SSAP_T_MU_TC,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
8902,SSAP_T_MU_TC,Public Services,General,Membership Organizations,Allowed,,NA,NA
8906,SSAP_T_MU_TC,Public Services,General,Cultural Facilities,Allowed,,NA,NA
8909,SSAP_T_MU_TC,Public Services,General,Government Offices,Allowed,,NA,NA
8912,SSAP_T_MU_TC,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
8914,SSAP_T_MU_TC,Public Services,General,Local Post Office,Allowed,,NA,NA
8915,SSAP_T_MU_TC,Public Services,General,Social Service Organizations,Allowed,,NA,NA
8918,SSAP_T_MU_TC,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
8919,SSAP_T_MU_TC,Public Services,Linear Public Facilities,Transit Stations and Terminals,Allowed,,NA,NA
8921,SSAP_T_MU_TC,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
8922,SSAP_T_MU_TC,Recreation,Recreation,Participant Sports Facilities,Allowed,,NA,NA
8923,SSAP_T_MU_TC,Recreation,Recreation,Recreation Centers,Allowed,,NA,NA
8924,SSAP_T_MU_TC,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
8925,SSAP_T_MU_TC,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
8928,SSAP_T_MU_TC,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,NA
8929,SSAP_T_MU_TC,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
8930,SSAP_T_MU_TC,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
8931,SSAP_T_MU_TC,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
8932,SSAP_T_MU_TC,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
8933,SSAP_T_MU_TC,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
8934,SSAP_T_MU_TC,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
8935,SSAP_T_MU_TC,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
8936,SSAP_T_MU_TC,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
8937,SSAP_T_MU_TC,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
8938,SSAP_T_MU_TC,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
8939,SSAP_T_MU_TC,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
8940,SSAP_T_MU_TC,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
8941,SSAP_T_MU_TC,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
8942,SSAP_T_MU_TC,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
8943,SSAP_T_MU_TC,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
8944,SSAP_T_MU_TC,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
8945,SSAP_T_MU_TC,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
8946,SSAP_T_MU_TC,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
8954,SSAP_T_R,Commercial,Retail,General Merchandise Stores,Allowed,,NA,"The following uses outside of Special Area 1 as shown on the Record of Survey Map for Park Cattle Company recorded in the official Records of Douglas County (Document No. 34529) within the T-R zoning district are prohibited: employee housing; multiple-family dwelling; bed and breakfast facilities; hotel, motel, and other transient dwelling units; time sharing (hotel motel design); time sharing (residential design); retail and personal service; amusements and recreation services; privately owned assembly and entertainment; cultural facilities; day-care centers/pre-schools; local assembly and entertainment; threshold related research facilities; campground (developed); campground (undeveloped); and sport assembly."
8955,SSAP_T_R,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
8966,SSAP_T_R,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,New transportation routes shall only be allowed if included in the adopted Regional Transportation Plan or Bicycle and Pedestrian Plan.
8969,SSAP_T_R,Recreation,Recreation,Beach Recreation,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
8970,SSAP_T_R,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
8972,SSAP_T_R,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
8973,SSAP_T_R,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
8975,SSAP_T_R,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
8976,SSAP_T_R,Recreation,Recreation,Golf Courses,Allowed,,NA,NA
8982,SSAP_T_R,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
8983,SSAP_T_R,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
8984,SSAP_T_R,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
8985,SSAP_T_R,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
8986,SSAP_T_R,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
8987,SSAP_T_R,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
8988,SSAP_T_R,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
8989,SSAP_T_R,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
8990,SSAP_T_R,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
8991,SSAP_T_R,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
8992,SSAP_T_R,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
8993,SSAP_T_R,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
8994,SSAP_T_R,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
8995,SSAP_T_R,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
8996,SSAP_T_R,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
8997,SSAP_T_R,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
8998,SSAP_T_R,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
8999,SSAP_T_R,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
9010,SSAP_T_RR,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9019,SSAP_T_RR,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,New transportation routes shall only be allowed if included in the adopted Regional Transportation Plan or Bicycle and Pedestrian Plan.
9021,SSAP_T_RR,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9022,SSAP_T_RR,Recreation,Recreation,Participant Sports Facilities,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9024,SSAP_T_RR,Recreation,Recreation,Recreation Centers,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9027,SSAP_T_RR,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9030,SSAP_T_RR,Recreation,Recreation,Sport Assembly,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9033,SSAP_T_RR,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9035,SSAP_T_RR,Resource Management,Timber Management,Reforestation,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9036,SSAP_T_RR,Resource Management,Timber Management,Special Cut,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9037,SSAP_T_RR,Resource Management,Timber Management,Thinning,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9038,SSAP_T_RR,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9039,SSAP_T_RR,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9040,SSAP_T_RR,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9041,SSAP_T_RR,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9042,SSAP_T_RR,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9043,SSAP_T_RR,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9044,SSAP_T_RR,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9045,SSAP_T_RR,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9046,SSAP_T_RR,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9047,SSAP_T_RR,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9048,SSAP_T_RR,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9049,SSAP_T_RR,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9050,SSAP_T_RR,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
9051,SSAP_T_RR,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,Use requiring a TRPA review or Special Use Determination.
